Feature,Importance
CreditHistoryAge_21 Years and 5 Months,0.0006171254269121808
CreditHistoryAge_27 Years and 1 Months,0.000615407950774634
CreditHistoryAge_2 Years and 6 Months,0.0006151300154704333
CreditHistoryAge_24 Years and 4 Months,0.0006048336270373516
"TypeofLoan_Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",0.0006040376573865735
CustomerID_CUS0xb959,0.0006016271892867726
Name_Pedro dad,0.0006014085303713768
CustomerID_CUS0xa40b,0.0005996200834250549
CreditHistoryAge_28 Years and 8 Months,0.0005975439445932871
SSN_564-44-2836,0.000595856540127049
CreditHistoryAge_6 Years and 2 Months,0.0005945004971297831
Name_Neilp,0.0005926781543936738
Name_Bille,0.0005856654896772436
CustomerID_CUS0x2b4c,0.0005855176783978306
Month_August,0.0005854855365734448
SSN_999-28-9483,0.0005825888087737897
CreditHistoryAge_5 Years and 7 Months,0.0005819032969216988
CreditHistoryAge_23 Years and 1 Months,0.0005794000483134705
Name_Leonoray,0.0005785601055686256
Name_Bradenl,0.0005751592895327887
CustomerID_CUS0xacf,0.0005658129915704134
SSN_513-95-7632,0.0005656621267723807
CreditHistoryAge_21 Years and 4 Months,0.000565413838781217
CreditHistoryAge_29 Years and 4 Months,0.0005651054584159737
Name_Casey Sullivans,0.0005615573929452766
Name_Katee,0.0005606792240212745
CreditHistoryAge_24 Years and 10 Months,0.0005580421075469179
SSN_716-57-9686,0.0005578636647561793
Name_Valetkevitchv,0.0005577658052366915
Name_Davidm,0.0005550002904665296
CustomerID_CUS0x6200,0.000554665801203186
Occupation_Mechanic,0.0005538636247184842
Name_Bully,0.0005510523709789941
CustomerID_CUS0x8bcc,0.0005498824467520549
CustomerID_CUS0x2de0,0.0005475231368572416
CustomerID_CUS0x6f02,0.0005466752714519131
"TypeofLoan_Personal Loan, Not Specified, Student Loan, and Mortgage Loan",0.0005423368972147214
"TypeofLoan_Mortgage Loan, Payday Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Personal Loan, and Payday Loan",0.0005404467990073108
CustomerID_CUS0x8a70,0.0005386652527632222
